image_name,Target 1,Target 2
image_0,1,1
image_1,1,1
image_2,1,1
image_3,1,1
image_4,1,1
image_5,1,1
image_6,1,1
image_7,1,1
image_8,1,1
image_9,1,1
image_10,1,1
image_11,1,1
image_12,1,1
image_13,1,1
image_14,1,1
image_15,1,1
image_16,1,1
image_17,1,1
image_18,1,1
image_19,1,1
image_20,1,1
image_21,1,1
image_22,1,1
image_23,1,1
image_24,1,1
image_25,1,1
image_26,1,1
image_27,1,1
image_28,1,1
image_29,1,1
image_30,1,1
image_31,1,1
image_32,1,1
image_33,1,1
image_34,1,1
image_35,1,1
image_36,1,1
image_37,1,1
image_38,1,1
image_39,1,1
image_40,1,1
image_41,1,1
image_42,1,1
image_43,1,1
image_44,1,1
image_45,1,1
image_46,1,1
image_47,1,1
image_48,1,1
image_49,1,1
image_50,1,1
image_51,1,1
image_52,1,1
image_53,1,1
image_54,1,1
image_55,1,1
image_56,1,1
image_57,1,1
image_58,1,1
image_59,1,1
image_60,1,1
image_61,1,1
image_62,1,1
image_63,1,1
image_64,1,1
image_65,1,1
image_66,1,1
image_67,1,1
image_68,1,1
image_69,1,1
image_70,1,1
image_71,1,1
image_72,1,1
image_73,1,1
image_74,1,1
image_75,1,1
image_76,1,1
image_77,1,1
image_78,1,1
image_79,1,1
image_80,1,1
image_81,1,1
image_82,1,1
image_83,1,1
image_84,1,1
image_85,1,1
image_86,1,1
image_87,1,1
image_88,1,1
image_89,1,1
image_90,1,1
image_91,1,1
image_92,1,1
image_93,1,1
image_94,1,1
image_95,1,1
image_96,1,1
image_97,1,1
image_98,1,1
image_99,1,1
image_100,1,1
image_101,1,1
image_102,1,1
image_103,1,1
image_104,1,1
image_105,1,1
image_106,1,1
image_107,1,1
image_108,1,1
image_109,1,1
image_110,1,1
image_111,1,1
image_112,1,1
image_113,1,1
image_114,1,1
image_115,1,1
image_116,1,1
image_117,1,1
image_118,1,1
image_119,1,1
image_120,1,1
image_121,1,1
image_122,1,1
image_123,1,1
image_124,1,1
image_125,1,1
image_126,1,1
image_127,1,1
image_128,1,1
image_129,1,1
